영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
공주님은 쾌락만화작가,2019-06-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,
요즘 신혼녀의 유행은,2016-07-13,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,하즈키 노조미
음탕한 아내와 사랑할때,2016-06-01,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,요시유키 유미,"하즈키 노조미,야마구치 마리"
책상 밑의 비서 생활,2016-09-13,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,미즈키 안
오빠에게만 보여주려고,2017-05-04,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,
초식남의 미끈한 OL녀 맛보기,2015-07-09,300000,300000,60,60,1,1,일본,(주)콘텐츠랩자박,청소년관람불가,성인물(에로),요시유키 유미,아리무라 치카
기동전사 건담 내러티브,,3630000,3630000,242,242,1,2,일본,(주)디스테이션,12세이상관람가,애니메이션,요시자와 토시카즈,
예루살렘Z: 좀비와의 전쟁,2016-06-02,300000,300000,60,60,1,1,이스라엘,(주)엔케이컨텐츠,15세이상관람가,공포(호러),"요아브 파즈,도론 파즈",
크라임 애프터 크라임,,135000,135000,27,27,1,1,미국,,전체관람가,다큐멘터리,요아브 포타쉬,
말레피센트 2,2019-10-17,-693506198,-693506198,1444952,1444952,1108,63768,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,어드벤처,요아킴 뢰닝,"안젤리나 졸리,엘르 패닝,미셀 파이퍼"
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,-794308654,-794308654,3049894,3049894,1357,85225,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,"요아킴 뢰닝,에스펜 샌버그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프"
"오슬로, 8월 31일",,660000,660000,132,132,1,4,노르웨이,,,드라마,요아킴 트리에,앤더스 다니엘슨 라이
델마,2018-08-15,702000,63905600,99,7171,1,2,노르웨이,그린나래미디어(주),15세이상관람가,멜로/로맨스,요아킴 트리에,"에일리 하보,카야 윌킨스,엘렌 도리트 페테르센,헨릭 라파엘센,이사벨 크리스틴 안드레슨"
라우더 댄 밤즈,2016-10-27,89283700,89283700,11143,11143,55,913,노르웨이,그린나래미디어(주),15세이상관람가,드라마,요아킴 트리에,"제시 아이젠버그,이자벨 위페르,가브리엘 번"
10%: 누가 영웅이 되는가?,,285000,285000,57,57,1,3,이스라엘,,,다큐멘터리,요아프 샤밀,
딥워터,2020-07-09,80198260,80198260,9300,9300,264,2030,기타,(주)팝엔터테인먼트,12세이상관람가,액션,요아힘 헤덴,"모아 감멜,매들린 마틴"
깝스,2003-11-05,4000,973000,1,104,1,1,스웨덴,인터비스앤파트너스(주),12세관람가,코미디,요제프 파레스,"토켈 페터슨,파레스 파레스"
나는 아직도 당신이 궁금하여 자다가도 일어납니다,,459000,459000,51,51,1,1,한국,,,드라마,"요조,김충근","강봉성,박지수,황순원,요조,강봉성"
귀신과의 섹스,2019-01-17,1000,1000,1,1,1,1,일본,(유)조이앤시네마,15세이상관람가,멜로/로맨스,요지 오노,
데스 트랩:사신의 법칙,2017-07-07,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,15세이상관람가,공포(호러),요코야마 카즈히로,
망자의 지정석,2017-09-20,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,15세이상관람가,공포(호러),요코야마 카즈히로,토다 레이
신혼 부부 러브 다이어리 3-트리플 러브,2013-03-21,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,모리시타 유리
신혼 부부 러브 다이어리 4-러브 포에버,2013-03-28,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,모리시타 유리
신혼부부 러브 다이어리,2012-08-14,50000,50000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,요코야마 미유키
신혼부부 러브 다이어리2,2012-08-14,50000,50000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,모리시타 유리
하이킥 엔젤스,2015-01-01,285000,285000,41,41,3,22,일본,(주)유로커뮤니케이션,15세이상관람가,액션,요코야마 카즈히로,"미야하라 카논,카와모토 마유,아오노 카에데"
