영화명,개봉일,누적관객수,배급사,감독,배우
헤어지기 전 우리가 해야 할 10가지,1900-01-01,1,(주)스토리제이,갈트니더호퍼,"크리스티나리치,해미쉬링클레이터,카티아윈터,존아브라함스"
우리가족같이,2018-10-29,177,0,감수성,"진주,안민상,도모세"
다방엄마,2019-03-28,194,(주)투모션,감수성,0
수상한 노래방,2018-08-09,187,0,"감수성,강수성","강소은,이수,지성"
아빠친구2-무삭제판,2019-01-04,1,0,감자,0
아빠친구2,2018-11-15,110,0,감자,상우
도레미파솔라시도,2008-04-03,197672,CJENM,강건향,"장근석,정의철,차예련,임주환,김혜옥,박민지,박은규,이은,한태윤,박주상,이두훈,김광석,박래정,이효춘,오윤영,이근희,박혁민"
서바이버즈 - 제흐리 경찰서의 날들,1900-01-01,138,0,강경란,0
강성옥,1900-01-01,17,0,강경태,0
매혈,1900-01-01,17,0,강경태,"김병국,이현웅,최고은"
무덤가,1900-01-01,17,0,강경태,0
아무것도,1900-01-01,17,0,강경태,0
누가 만들었을까?,1900-01-01,18,0,강경태,0
죽어도 해피엔딩,2007-08-22,181186,(주)프라임엔터테인먼트,강경훈,"예지원,정경호,정두홍,임원희,리차드김,근휘,김병춘,우현,조은지,윤주상,조희봉"
유혹 2,2016-08-03,60,(주)키다리이엔티,강국민,하호문
"카페, 한 사람을 기다리다",2017-05-11,7288,(유)조이앤컨텐츠그룹,강금림,송운화
교각의 저편,1900-01-01,88,0,"강녕,포호군,왕줘시",0
헝거,1900-01-01,55,0,강다연,김유나
담보,2020-09-29,1719521,CJENM,강대규,"성동일,하지원,김희원,박소이,나문희,김윤진,김재화,홍승희,유태오,유성주,정인기,진유영,이재용,박현숙,유순웅,차청화,장명갑,김민주,김해용,김병철,윤종구,이상화,이도엽,이필라,한복희,박시완,박경환,임세현,노은하,신나리,서성광,문성환,이상협,박은영,김서현,윤태웅,이샘,강재은,강민지,신동훈,김양성,송율희,권현희,이태형,이은주,문성복,이문빈,신민경,김봉성,김다연,천현우,김인이,문원주,김봉수,최미라,김규도,오세현,정원,유현수,정태인,박현수,곡여병,유성현,현정애,장호문,한승윤,차건,김수현,배서희,양세연,박예서,박지민,오정원,박소현,오나예,김예원,박지성,정세한,하지원,정주용,김가령,최수아,양예슬,권채민,서수빈,이정봉,송혜령,김민지,지선,정민경,천윤진,배근하,오연지,박재홍,이상협,이동진"
하모니,2010-01-28,3018154,CJENM,강대규,"김윤진,김호연,나문희,강예원,이다희,장영남,박준면,정수영,손미희,정혜원,홍민기,김원영,신정원,김해용,박지연,서동현,박란,유정민,이효준,임채연,윤익준,윤정빈,박선희,오은미,정재민,염은하,최은찬,전수지,김양성,김현수,김재화,지성원,이승연,이선주,박혜진,차청화"
착한 이모의 은밀한 아르바이트,2018-09-27,159,(주)로드하우스,"강대만,유승택",이채담
사랑의 원자탄,1977-11-09,1627,0,강대진,"이신재,이경희"
박서방,1960-10-05,7430,0,강대진,"김승호,조미령,김진규"
마부,1961-01-01,10686,0,강대진,"김승호,신영균,황정순"
내일의 팔도강산,1971-01-12,1106,0,강대철,"김희갑,황정순"
쌍자신투,2014-10-16,1407,(주)소나무픽쳐스,강도해,"채탁연,종흔동,홍금보"
한낮의 피크닉,2019-07-04,3052,서울독립영화제,"강동완,김한라,임오정","권해효,김금순,곽민규,윤혜리,류경수,김욱,서벽준,이우정,공민정,어성욱,강동완,곽민규,권해효,김계선,박지원,김민규,김보라,김선경,김형대,장준휘,윤주혜,공민정,이규현,이현빈,문규민,김욱,유혜정,이은정,박니노,서민주"
기도하는 남자,2020-02-20,1661,(주)랠리버튼,강동헌,"박혁권,류현경,백종승,오동민,남기애,권소현,김준원,김준원,오동민,조승희,배윤범,김태연,유채연,양대국,고경인,김민식,강윤정,김광덕,김광덕,황세온,지화섭,오봄길,이가경,장해금,서민성,육진아,이현석,정교,김동준,강기목,김대홍,서병철,조혜령,곽호정,한연희,김진,홍성태,여미정,하헌범,조영식,김한상,옹민지,박경은,김일수,김동희,정지우,이언희,김혜숙,이정아,정준구,정연,김민지,김현수,김정숙,윤수정,정재근,남주현,이나림,강원숙,임정향,유승영,김지연,권선국,박하늘,강윤호"
힙스터: 안개의 덫,2015-10-21,1,고구마콘텐츠허브(주),강명진,"유사라,김동윤,정종우,류아진,박민규,강인화"
공사중,2015-04-08,1,고구마콘텐츠허브(주),강명진,"성은,김호창,라리사,최한빛,문예신,이장섭,서창환"
아내의 동영상,2017-04-27,189,0,강명진,박주빈
색끈한 퓨전사극 심청야사,2015-12-17,551,고구마콘텐츠허브(주),강명진,"박성현,이상무"
일보지요: 상하이 살인사건,1900-01-01,97,0,강문,0
양자탄비,2012-03-22,1454,0,강문,"주윤발,강문,갈우"
푸른 강은 흘러라,2009-10-08,394,0,강미자,"한예리,남철,임선애"
내추럴어반네이쳐,1900-01-01,3,0,강민지,0
묘아,1900-01-01,8,0,강민지,0
수비니어 애니메이션,1900-01-01,39,0,강민지,0
천에 오십 반지하,1900-01-01,121,0,강민지,0
내츄럴 어반 네이쳐,1900-01-01,155,0,강민지,0
호주 한국영화제2011 공식 트레일러,1900-01-01,172,0,강민지,0
고양이의 숲,1900-01-01,90,0,강민현,진현
엄딸,2016-05-26,1,주식회사이엔터,강백호,"윤정,이윤정"
맛있는누나들-무삭제,2019-02-01,1,스마일컨텐츠,강백호,설영
라면 먹고 갈래?,2016-03-17,1,주식회사이엔터,강백호,"도모세,혜정"
맛있는 누나들,2018-12-19,110,스마일컨텐츠,강백호,설영
야설 쓰는 여자,2016-08-24,169,노바엔터테인먼트,강백호,하경
나만의 승진 테크닉,2016-07-07,213,0,강백호,서우
김군,2019-05-23,16854,영화사풀,강상우,"김군,주옥,양동남,지만원,이창성,차종수,오기철,이강갑,최영철,최진수,안지환,서정열,안종철,이종명,곽희성,김양래,강보원,주대체,고광덕,구성주,김경림,김공휴,김규재,김영택,김태찬,김용균,김정기,김준봉,김준선,김진순,김춘군,나일성,마이남,문관,지대지,문병림,지유진,문장우,송희성,윤영규,박봉진,이재춘,이근례,박선재,정호용,이흥철,최진동,최창기,양홍범,염경태,송경상,서한성,오인수,오종렬,홍순진,홍흥준,박인수,허상희,이은정"
걸프렌즈,2009-12-17,108396,(주)넥스트엔터테인먼트월드(NEW),강석범,"강혜정,한채영,허이재,배수빈,김혜옥,손정민,김보민,유재웅,곽진석,전수민,최승훈,이예슬,이혜승,박성웅,산다라박,지대한,조은지,공정환,최교식,곽진석"
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,181510,CJENM,강석범,"김주혁,엄정화,김가연,기주봉,손재곤,김두찬,김준성,조성재,조은희,박지현,이복희,김영숙,허기호,노승범,이주리,강성필"
정승필 실종사건,2009-10-08,318852,롯데쇼핑㈜롯데엔터테인먼트,강석범,"김선영,이범수,김민선,유종근,강남영,한혜림,함아름,박상욱,임대호,정하연,김민세,이다연,임세호,이진수,이용혁,이태우,김주호,박성웅,이원종,이한위,김광규,지대한,김뢰하,지창욱,김현숙"
해바라기,2006-11-23,1305024,(주)쇼박스,강석범,"김원진,김래원,김해숙,허이재,김정태,이승희,이준원,홍은표,홍의정,박철호,한정수,박종준,심인보,황인성,이란희,김택수,이후경,박병렬,박병렬,이소진,최영은,김지형,김우현,박성웅,김병옥,정은표,지대한,박은혜,이종윤"
"소년, 달리다",1900-01-01,356,0,강석필,"박민수,박상호"
춤추는 숲,2013-05-23,8695,스튜디오느림보,강석필,"강석필,강이헌,이창환"
바보야,2011-04-21,17916,주식회사마운틴픽쳐스,강성옥,안성기
울지마 톤즈 2 : 슈크란 바바,2020-01-09,20863,(주)영화특별시에스엠씨,강성옥,이금희
"村, 금가이",1900-01-01,72,0,강세진,0
"ㅅㄹ, ㅅㅇ, ㅅㄹ",1900-01-01,88,0,강예은,0
꼬마 대부,1900-01-01,8,0,강용규,"이건주,이재은"
롱타임노씨,1900-01-01,134,매치박스유한책임회사,강우,"탁우석,연승호,김명환"
마누라 죽이기,1994-12-17,1,0,강우석,"박중훈,최진실,엄정화"
투캅스 2,1996-04-27,1,CJENM,강우석,"박중훈,김보성,지수원"
행복은 성적순이 아니잖아요,1989-07-29,6,0,강우석,"이미연,김보성,최수훈"
투캅스,1993-12-18,41,0,강우석,"안성기,박중훈,지수원"
공공의 적,2002-01-24,207,CJENM,강우석,"설경구,이성재,강신일,안내상,이문식,성지루,유해진,허명행,조규성,조영민,조용수,김병인,금종택,서범식,명영호,김다은,김경은,서지오,전재홍,정기성,양재성,이충희,안석환,기주봉,윤문식,김강일,이도겸,권병길,이칸희,권태원,김경룡"
"고산자, 대동여지도",2016-09-07,974262,CJENM,강우석,"김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,노경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준,손성찬,정종열,곽수정,김시우,차청화,임용순,박기륭,박소영,추연규,여민구,이승철"
실미도,2003-12-24,1719167,CJENM,강우석,"설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
전설의 주먹,2013-04-10,1744585,CJENM,강우석,"황정민,유준상,이요원,윤제문,정웅인,성지루,지우,장영주,장임태,장준석,장한별,전상민,전재형,정동혁,정윤성,주창욱,채성원,천준호,최봉록,최춘범,최충열,허명행,박용균,박재영,이수민,김태형,박정민,박진우,서범식,강신일,강성진,김종수,변준우,전준영,이정혁,권은수,어성욱,곽진석"
글러브,2011-01-20,1887733,CJENM,강우석,"강신일,김미경,김혜성,유선,정재영,조진웅,장기범,이현우,김경호,조찬형,안창현,한만진,서혜진,김선우,최성필,정진규,김정우,최은성,이창수,이해영,전국환,리우진,오희준,김동영,권은수,김경룡"
공공의 적 2,2005-01-27,3134424,CJENM,강우석,"설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희"
한반도,2006-07-13,3331593,CJENM,강우석,"조재현,안성기,차인표,문성근,김응수,김광일,최종원,최정우,강신일,최창석,서강석,고정은,최동규,김성원,최병권,장문정,최연식,이승철,김영신,이윤주,백일섭,이미도,이한위,박길수,이승호,최일화,이칸희,조민준,권태원,이양희,류제승"
이끼,2010-07-14,3350311,CJENM,강우석,"정재영,박해일,유준상,유선,허준호,유해진,김상호,김준배,강신일,이철민,박정재,유준상,최근현,윤아름,오순태,김철현,장준녕"
강철중: 공공의 적 1-1,2008-06-19,4313102,CJENM,강우석,"설경구,정재영,강신일,유해진,탁트인,이상현,김윤성,이재원,조한영,박창용,박태훈,김건호,김재득,임장현,이민호,김태한,정원중,김영옥,김영필,이한솔,리우진,박혁민,차영남,박영서"
인디애니페스트2015-새벽비행1,1900-01-01,146,0,"강운진,유아람,박세은,이정은,한지아,전계민,박성근,전진규,권서영,송다정,정미린,황수진,박재범,김은성,이두희,오지현,김고은",0
밤,1900-01-01,95,0,강원,"김창환,강봉성,형영선"
수도원 아이들,1900-01-01,18,0,강위치,0
모래,1900-01-01,56,0,강유가람,"강성칠,유정옥,강보람"
SIDOF2018_시국페미/도시 목격자/끝나지 않은 편지,1900-01-01,119,0,강유가람,0
우리는 매일매일,2021-06-30,359,㈜인디스토리,강유가람,"허은주,김이승현,유여원"
이태원,2019-12-05,3416,KT&G상상마당영화사업팀컴퍼니에스에스(주),강유가람,"삼숙,나키,영화,장재민,김연석,이영동,안보살"
초대남 무삭제판,2017-08-30,1,윤스,강유민,이은미
초대남,2017-05-23,215,0,강유민,"이은미,한나,조배성,이재현"
번개맨의 비밀,2018-12-06,51040,(주)디스테이션,강유선,"서홍석,유수호,최오식,이상철,김수미,김성웅,이상철,이수현"
롱 리브 더 킹: 목포 영웅,2019-06-19,1094404,메가박스중앙(주)플러스엠,강윤성,"김래원,원진아,진선규,최귀화,최무성,주진모,장지건,정원중,이성우,김홍표,민무제,김동현,차엽,남승화,노진영,마동석,길해연,박용,서문호,서영민,김귀선,박주운,김동민,신미영,배해선,신용욱,신혜경,안지혜,유희제,윤계상,김서현,윤병희,김수안,윤재인,임효진,공태원,이선영,홍범기,김형욱,조미초,홍지석,홍진기,차우진,이찬수,황인성,정기용,김승희,김시윤,정동훈,조한나,주영호,이기창,진선규,차민경,금광산,이도군,김구택,김대흥,이동철,하수호,김보정,김필,이용이,정수연,정수현,한상철,이병수,정시후,남상덕,주진무,남택근,문정환,진모,유태근,유태선,정선철,정수원,정윤성,민지호,정승균,정은경,신영옥,신용선,이규호,정환욱,박수지,김지은,이원민,이은미,최재환,배송이,박찬양,박천국,최지호,임철영,임형섭,임형준,장덕출,송욱경,장유빈,송해구,홍이주,황정인,홍기준"
범죄도시,2017-10-03,6880546,메가박스중앙(주)플러스엠,강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호"
애국청년 변희재,2018-03-08,17,0,강의석,"강의석,이보람,이정희,정태호,한명숙,한승훈,이보람"
미션스쿨,2015-10-15,152,홀리가든,강의석,"이바울,임정은,박선형,변지현,서정원,서지형,윤상호,윤정훈,임정숙,장재권,전유성,조지혜,최수혁,최승하,한민호,홍선기,윤금선아"
이빨 두 개,1900-01-01,99,㈜인디스토리,강이관,"박정욱,서옥별,박미현"
범죄소년,2012-11-22,14190,타임스토리그룹(주),강이관,"이정현,김근영,서영주,이헌기,인승만,임명진,임종인,임태섭,장민웅,전영철,전예진,정미현,정태욱,최영식,김성무,최준경,이병석,이성민,이성택,박성훈,배종대,서준혁,신홍섭,배성우,정석용,서영화,지대한,강혁일,김경룡,한사명,손희순"
사과,2008-10-16,58233,영화사청어람(주),강이관,"문소리,이선균,강래연,주진모,노윤,강길삼,최형인,류현정,한준호,장일윤,최문석,최명수,박미현,박수영,최정인,주부진"
시선 너머,2011-04-28,3378,㈜인디스토리,"강이관,윤성현,신동일","김현주,박준영,박혁권,심이영,서옥별,임종윤,정재웅,이정은,김소숙,유하준,강민영,송진열,김지은,박미현,김태훈"
내 사촌 여동생들,2018-08-30,1,0,강정훈,0
내 사촌 여동생들 (감독판),2018-12-07,1,0,강정훈,0
내 엄마의 친구: 완숙한 육체를 탐하다,2018-03-06,1,(주)소나무픽쳐스,강정훈,0
내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판,2018-04-17,1,0,강정훈,0
내 이웃의 아내 3 (무삭제),2018-03-26,1,0,강정훈,0
내 친구엄마들 2018,2018-09-18,1,0,강정훈,0
내 친구엄마들 2018 (감독판),2018-11-09,1,0,강정훈,0
내 친구의 아내 3,2017-11-09,1,0,강정훈,"마지마카오루,유키미에미루"
내 친구의 아내 3 (무삭제),2018-03-06,1,0,강정훈,0
